snapshot_date,material_id,warehouse_location,quantity_on_hand,lot_expiry_date,is_null_snapshot_date,is_null_material_id,is_null_quantity
31/1/2025,MAT001,WH-A,2000,31/12/2027,0,0,0
28/2/2025,MAT001,WH-A,2960,31/12/2027,0,0,0
31/3/2025,MAT001,WH-A,1810,31/12/2027,0,0,0
30/4/2025,MAT001,WH-A,820,31/12/2027,0,0,0
31/5/2025,MAT001,WH-A,0,,0,0,0
30/6/2025,MAT001,WH-A,0,,0,0,0
31/7/2025,MAT001,WH-A,0,,0,0,0
31/8/2025,MAT001,WH-A,0,,0,0,0
30/9/2025,MAT001,WH-A,0,,0,0,0
31/10/2025,MAT001,WH-A,0,,0,0,0
30/11/2025,MAT001,WH-A,0,,0,0,0
31/12/2025,MAT001,WH-A,380,20/8/2026,0,0,0
31/1/2025,MAT002,WH-B,600,15/5/2025,0,0,0
28/2/2025,MAT002,WH-B,1400,15/5/2025,0,0,0
31/3/2025,MAT002,WH-B,1140,15/5/2025,0,0,0
30/4/2025,MAT002,WH-B,670,15/5/2025,0,0,0
31/5/2025,MAT002,WH-B,50,15/5/2025,0,0,0
30/6/2025,MAT002,WH-B,0,,0,0,0
31/7/2025,MAT002,WH-B,900,20/8/2026,0,0,0
31/8/2025,MAT002,WH-B,400,20/8/2026,0,0,0
30/9/2025,MAT002,WH-B,60,20/8/2026,0,0,0
31/10/2025,MAT002,WH-B,0,,0,0,0
30/11/2025,MAT002,WH-B,0,,0,0,0
31/12/2025,MAT002,WH-B,0,,0,0,0
31/1/2025,MAT003,WH-C,1360,15/3/2025,0,0,0
28/2/2025,MAT003,WH-C,1120,15/3/2025,0,0,0
31/3/2025,MAT003,WH-C,700,15/3/2025,0,0,0
30/4/2025,MAT003,WH-C,280,15/3/2025,0,0,0
31/5/2025,MAT003,WH-C,280,15/3/2025,0,0,0
30/6/2025,MAT003,WH-C,160,15/3/2025,0,0,0
31/7/2025,MAT003,WH-C,960,15/3/2025,0,0,0
31/8/2025,MAT003,WH-C,580,15/3/2025,0,0,0
30/9/2025,MAT003,WH-C,220,15/3/2025,0,0,0
31/10/2025,MAT003,WH-C,0,,0,0,0
30/11/2025,MAT003,WH-C,0,,0,0,0
31/12/2025,MAT003,WH-C,0,,0,0,0
31/1/2025,MAT004,WH-D,360,15/8/2025,0,0,0
28/2/2025,MAT004,WH-D,60,15/8/2025,0,0,0
31/3/2025,MAT004,WH-D,60,15/8/2025,0,0,0
30/4/2025,MAT004,WH-D,0,,0,0,0
31/5/2025,MAT004,WH-D,0,,0,0,0
30/6/2025,MAT004,WH-D,660,20/8/2026,0,0,0
31/7/2025,MAT004,WH-D,360,20/8/2026,0,0,0
31/8/2025,MAT004,WH-D,60,20/8/2026,0,0,0
30/9/2025,MAT004,WH-D,270,20/8/2026,0,0,0
31/10/2025,MAT004,WH-D,90,20/8/2026,0,0,0
30/11/2025,MAT004,WH-D,0,,0,0,0
31/12/2025,MAT004,WH-D,0,,0,0,0
31/1/2025,MAT005,WH-E,400,31/12/2027,0,0,0
28/2/2025,MAT005,WH-E,700,31/12/2027,0,0,0
31/3/2025,MAT005,WH-E,700,31/12/2027,0,0,0
30/4/2025,MAT005,WH-E,700,31/12/2027,0,0,0
31/5/2025,MAT005,WH-E,700,31/12/2027,0,0,0
30/6/2025,MAT005,WH-E,300,31/12/2027,0,0,0
31/7/2025,MAT005,WH-E,300,31/12/2027,0,0,0
31/8/2025,MAT005,WH-E,300,31/12/2027,0,0,0
30/9/2025,MAT005,WH-E,300,31/12/2027,0,0,0
31/10/2025,MAT005,WH-E,300,31/12/2027,0,0,0
30/11/2025,MAT005,WH-E,300,31/12/2027,0,0,0
31/12/2025,MAT005,WH-E,300,31/12/2027,0,0,0
31/1/2025,MAT006,WH-A,2430,15/3/2025,0,0,0
28/2/2025,MAT006,WH-A,4510,15/3/2025,0,0,0
31/3/2025,MAT006,WH-A,3450,15/3/2025,0,0,0
30/4/2025,MAT006,WH-A,2600,15/3/2025,0,0,0
31/5/2025,MAT006,WH-A,1580,15/3/2025,0,0,0
30/6/2025,MAT006,WH-A,760,15/3/2025,0,0,0
31/7/2025,MAT006,WH-A,0,,0,0,0
31/8/2025,MAT006,WH-A,1510,20/8/2026,0,0,0
30/9/2025,MAT006,WH-A,770,20/8/2026,0,0,0
31/10/2025,MAT006,WH-A,0,,0,0,0
30/11/2025,MAT006,WH-A,0,,0,0,0
31/12/2025,MAT006,WH-A,0,,0,0,0
31/1/2025,MAT007,WH-B,1950,15/4/2026,0,0,0
28/2/2025,MAT007,WH-B,5550,15/4/2026,0,0,0
31/3/2025,MAT007,WH-B,4910,15/4/2026,0,0,0
30/4/2025,MAT007,WH-B,4200,15/4/2026,0,0,0
31/5/2025,MAT007,WH-B,3740,15/4/2026,0,0,0
30/6/2025,MAT007,WH-B,2960,15/4/2026,0,0,0
31/7/2025,MAT007,WH-B,2480,15/4/2026,0,0,0
31/8/2025,MAT007,WH-B,5270,15/4/2026,0,0,0
30/9/2025,MAT007,WH-B,4330,15/4/2026,0,0,0
31/10/2025,MAT007,WH-B,4190,15/4/2026,0,0,0
30/11/2025,MAT007,WH-B,3550,15/4/2026,0,0,0
31/12/2025,MAT007,WH-B,3550,15/4/2026,0,0,0
31/1/2025,MAT008,WH-C,900,15/8/2025,0,0,0
28/2/2025,MAT008,WH-C,0,,0,0,0
31/3/2025,MAT008,WH-C,0,,0,0,0
30/4/2025,MAT008,WH-C,40,20/8/2026,0,0,0
31/5/2025,MAT008,WH-C,0,,0,0,0
30/6/2025,MAT008,WH-C,0,,0,0,0
31/7/2025,MAT008,WH-C,0,,0,0,0
31/8/2025,MAT008,WH-C,0,,0,0,0
30/9/2025,MAT008,WH-C,0,,0,0,0
31/10/2025,MAT008,WH-C,0,,0,0,0
30/11/2025,MAT008,WH-C,240,20/8/2027,0,0,0
31/12/2025,MAT008,WH-C,240,20/8/2027,0,0,0
31/1/2025,MAT009,WH-D,1200,15/5/2025,0,0,0
28/2/2025,MAT009,WH-D,3000,15/5/2025,0,0,0
31/3/2025,MAT009,WH-D,3000,15/5/2025,0,0,0
30/4/2025,MAT009,WH-D,3000,15/5/2025,0,0,0
31/5/2025,MAT009,WH-D,3000,15/5/2025,0,0,0
30/6/2025,MAT009,WH-D,3000,15/5/2025,0,0,0
31/7/2025,MAT009,WH-D,3000,15/5/2025,0,0,0
31/8/2025,MAT009,WH-D,4500,15/5/2025,0,0,0
30/9/2025,MAT009,WH-D,4500,15/5/2025,0,0,0
31/10/2025,MAT009,WH-D,4500,15/5/2025,0,0,0
30/11/2025,MAT009,WH-D,4500,15/5/2025,0,0,0
31/12/2025,MAT009,WH-D,210,15/5/2025,0,0,0
31/1/2025,MAT010,WH-E,800,,0,0,0
28/2/2025,MAT010,WH-E,800,,0,0,0
31/3/2025,MAT010,WH-E,800,,0,0,0
30/4/2025,MAT010,WH-E,1600,,0,0,0
31/5/2025,MAT010,WH-E,1600,,0,0,0
30/6/2025,MAT010,WH-E,2800,,0,0,0
31/7/2025,MAT010,WH-E,2800,,0,0,0
31/8/2025,MAT010,WH-E,2800,,0,0,0
30/9/2025,MAT010,WH-E,2800,,0,0,0
31/10/2025,MAT010,WH-E,2800,,0,0,0
30/11/2025,MAT010,WH-E,2800,,0,0,0
31/12/2025,MAT010,WH-E,2800,,0,0,0
31/1/2025,MAT011,WH-A,3295,15/4/2026,0,0,0
28/2/2025,MAT011,WH-A,2490,15/4/2026,0,0,0
31/3/2025,MAT011,WH-A,1960,15/4/2026,0,0,0
30/4/2025,MAT011,WH-A,1110,15/4/2026,0,0,0
31/5/2025,MAT011,WH-A,5580,15/4/2026,0,0,0
30/6/2025,MAT011,WH-A,5260,15/4/2026,0,0,0
31/7/2025,MAT011,WH-A,4295,15/4/2026,0,0,0
31/8/2025,MAT011,WH-A,8225,15/4/2026,0,0,0
30/9/2025,MAT011,WH-A,7535,15/4/2026,0,0,0
31/10/2025,MAT011,WH-A,6630,15/4/2026,0,0,0
30/11/2025,MAT011,WH-A,5895,15/4/2026,0,0,0
31/12/2025,MAT011,WH-A,5895,15/4/2026,0,0,0
31/1/2025,MAT012,WH-B,5000,15/4/2026,0,0,0
28/2/2025,MAT012,WH-B,5000,15/4/2026,0,0,0
31/3/2025,MAT012,WH-B,4920,15/4/2026,0,0,0
30/4/2025,MAT012,WH-B,4800,15/4/2026,0,0,0
31/5/2025,MAT012,WH-B,4720,15/4/2026,0,0,0
30/6/2025,MAT012,WH-B,4560,15/4/2026,0,0,0
31/7/2025,MAT012,WH-B,8240,15/4/2026,0,0,0
31/8/2025,MAT012,WH-B,8120,15/4/2026,0,0,0
30/9/2025,MAT012,WH-B,7960,15/4/2026,0,0,0
31/10/2025,MAT012,WH-B,7880,15/4/2026,0,0,0
30/11/2025,MAT012,WH-B,7880,15/4/2026,0,0,0
31/12/2025,MAT012,WH-B,7880,15/4/2026,0,0,0
31/1/2025,MAT013,WH-C,2100,15/4/2026,0,0,0
28/2/2025,MAT013,WH-C,1460,15/4/2026,0,0,0
31/3/2025,MAT013,WH-C,3020,15/4/2026,0,0,0
30/4/2025,MAT013,WH-C,2320,15/4/2026,0,0,0
31/5/2025,MAT013,WH-C,1640,15/4/2026,0,0,0
30/6/2025,MAT013,WH-C,2600,15/4/2026,0,0,0
31/7/2025,MAT013,WH-C,1920,15/4/2026,0,0,0
31/8/2025,MAT013,WH-C,900,15/4/2026,0,0,0
30/9/2025,MAT013,WH-C,220,15/4/2026,0,0,0
31/10/2025,MAT013,WH-C,0,,0,0,0
30/11/2025,MAT013,WH-C,0,,0,0,0
31/12/2025,MAT013,WH-C,0,,0,0,0
31/1/2025,MAT014,WH-D,3600,15/3/2025,0,0,0
28/2/2025,MAT014,WH-D,3600,15/3/2025,0,0,0
31/3/2025,MAT014,WH-D,3600,15/3/2025,0,0,0
30/4/2025,MAT014,WH-D,3600,15/3/2025,0,0,0
31/5/2025,MAT014,WH-D,3600,15/3/2025,0,0,0
30/6/2025,MAT014,WH-D,3600,15/3/2025,0,0,0
31/7/2025,MAT014,WH-D,3600,15/3/2025,0,0,0
31/8/2025,MAT014,WH-D,3600,15/3/2025,0,0,0
30/9/2025,MAT014,WH-D,3600,15/3/2025,0,0,0
31/10/2025,MAT014,WH-D,5200,15/3/2025,0,0,0
30/11/2025,MAT014,WH-D,5200,15/3/2025,0,0,0
31/12/2025,MAT014,WH-D,5200,15/3/2025,0,0,0
31/1/2025,MAT015,WH-E,2010,,0,0,0
28/2/2025,MAT015,WH-E,1950,,0,0,0
31/3/2025,MAT015,WH-E,1830,,0,0,0
30/4/2025,MAT015,WH-E,1740,,0,0,0
31/5/2025,MAT015,WH-E,1650,,0,0,0
30/6/2025,MAT015,WH-E,1530,,0,0,0
31/7/2025,MAT015,WH-E,1410,,0,0,0
31/8/2025,MAT015,WH-E,1290,,0,0,0
30/9/2025,MAT015,WH-E,2790,,0,0,0
31/10/2025,MAT015,WH-E,2670,,0,0,0
30/11/2025,MAT015,WH-E,2580,,0,0,0
31/12/2025,MAT015,WH-E,2580,,0,0,0
31/1/2025,MAT016,WH-A,7060,20/8/2026,0,0,0
28/2/2025,MAT016,WH-A,6600,20/8/2026,0,0,0
31/3/2025,MAT016,WH-A,18100,20/8/2026,0,0,0
30/4/2025,MAT016,WH-A,17290,20/8/2026,0,0,0
31/5/2025,MAT016,WH-A,16010,20/8/2026,0,0,0
30/6/2025,MAT016,WH-A,14830,20/8/2026,0,0,0
31/7/2025,MAT016,WH-A,13950,20/8/2026,0,0,0
31/8/2025,MAT016,WH-A,12610,20/8/2026,0,0,0
30/9/2025,MAT016,WH-A,23870,20/8/2026,0,0,0
31/10/2025,MAT016,WH-A,23170,20/8/2026,0,0,0
30/11/2025,MAT016,WH-A,22160,20/8/2026,0,0,0
31/12/2025,MAT016,WH-A,22160,20/8/2026,0,0,0
31/1/2025,MAT017,WH-B,10180,20/8/2026,0,0,0
28/2/2025,MAT017,WH-B,9620,20/8/2026,0,0,0
31/3/2025,MAT017,WH-B,9020,20/8/2026,0,0,0
30/4/2025,MAT017,WH-B,8620,20/8/2026,0,0,0
31/5/2025,MAT017,WH-B,8320,20/8/2026,0,0,0
30/6/2025,MAT017,WH-B,8160,20/8/2026,0,0,0
31/7/2025,MAT017,WH-B,7640,20/8/2026,0,0,0
31/8/2025,MAT017,WH-B,14240,20/8/2026,0,0,0
30/9/2025,MAT017,WH-B,13720,20/8/2026,0,0,0
31/10/2025,MAT017,WH-B,12820,20/8/2026,0,0,0
30/11/2025,MAT017,WH-B,12360,20/8/2026,0,0,0
31/12/2025,MAT017,WH-B,12360,20/8/2026,0,0,0
31/1/2025,MAT018,WH-C,3130,15/5/2025,0,0,0
28/2/2025,MAT018,WH-C,2425,15/5/2025,0,0,0
31/3/2025,MAT018,WH-C,2145,15/5/2025,0,0,0
30/4/2025,MAT018,WH-C,1545,15/5/2025,0,0,0
31/5/2025,MAT018,WH-C,1395,15/5/2025,0,0,0
30/6/2025,MAT018,WH-C,1175,15/5/2025,0,0,0
31/7/2025,MAT018,WH-C,410,15/5/2025,0,0,0
31/8/2025,MAT018,WH-C,1515,15/5/2025,0,0,0
30/9/2025,MAT018,WH-C,1115,15/5/2025,0,0,0
31/10/2025,MAT018,WH-C,460,15/5/2025,0,0,0
30/11/2025,MAT018,WH-C,0,,0,0,0
31/12/2025,MAT018,WH-C,0,,0,0,0
31/1/2025,MAT019,WH-D,4000,20/8/2026,0,0,0
28/2/2025,MAT019,WH-D,4000,20/8/2026,0,0,0
31/3/2025,MAT019,WH-D,4000,20/8/2026,0,0,0
30/4/2025,MAT019,WH-D,8000,20/8/2026,0,0,0
31/5/2025,MAT019,WH-D,8000,20/8/2026,0,0,0
30/6/2025,MAT019,WH-D,8000,20/8/2026,0,0,0
31/7/2025,MAT019,WH-D,8000,20/8/2026,0,0,0
31/8/2025,MAT019,WH-D,8000,20/8/2026,0,0,0
30/9/2025,MAT019,WH-D,8000,20/8/2026,0,0,0
31/10/2025,MAT019,WH-D,14000,20/8/2026,0,0,0
30/11/2025,MAT019,WH-D,14000,20/8/2026,0,0,0
31/12/2025,MAT019,WH-D,14000,20/8/2026,0,0,0
31/1/2025,MAT020,WH-E,3200,,0,0,0
28/2/2025,MAT020,WH-E,3200,,0,0,0
31/3/2025,MAT020,WH-E,2700,,0,0,0
30/4/2025,MAT020,WH-E,4760,,0,0,0
31/5/2025,MAT020,WH-E,4760,,0,0,0
30/6/2025,MAT020,WH-E,4260,,0,0,0
31/7/2025,MAT020,WH-E,4060,,0,0,0
31/8/2025,MAT020,WH-E,3860,,0,0,0
30/9/2025,MAT020,WH-E,6560,,0,0,0
31/10/2025,MAT020,WH-E,6560,,0,0,0
30/11/2025,MAT020,WH-E,6160,,0,0,0
31/12/2025,MAT020,WH-E,6160,,0,0,0
31/1/2026,MAT001,WH-A,1580,20/8/2026,0,0,0
