po_id,po_date,supplier_id,material_id,quantity_ordered,quantity_received,expected_delivery_date,actual_delivery_date,is_null_po_id,is_null_po_date,is_null_supplier_id,is_null_material_id,is_null_qty_ordered,is_null_qty_received,is_null_expected_delivery,is_null_actual_delivery
PO-001,2025-01-23,SUP006,MAT001,2000,2000,2025-02-06,2025-02-13,0,0,0,0,0,0,0,0
PO-002,2025-11-01,SUP006,MAT001,1500,0,2025-11-15,,0,0,0,0,0,0,0,1
PO-003,2025-02-03,SUP006,MAT002,1200,1200,2025-02-13,2025-02-20,0,0,0,0,0,0,0,0
PO-004,2025-06-28,SUP006,MAT002,1500,1500,2025-07-08,2025-07-15,0,0,0,0,0,0,0,0
PO-005,2025-01-04,SUP002,MAT003,800,800,2025-01-11,2025-01-11,0,0,0,0,0,0,0,0
PO-006,2025-06-18,SUP002,MAT003,1200,1200,2025-06-25,2025-07-01,0,0,0,0,0,0,0,0
PO-007,2025-05-18,SUP007,MAT004,900,900,2025-06-08,2025-06-09,0,0,0,0,0,0,0,0
PO-008,2025-09-04,SUP007,MAT004,450,450,2025-09-25,2025-09-27,0,0,0,0,0,0,0,0
PO-009,2025-01-13,SUP002,MAT005,300,300,2025-02-03,2025-02-09,0,0,0,0,0,0,0,0
PO-010,2025-06-29,SUP002,MAT005,300,300,2025-07-20,2025-07-23,0,0,0,0,0,0,0,0
PO-011,2025-01-17,SUP003,MAT006,3200,3200,2025-01-31,2025-02-01,0,0,0,0,0,0,0,0
PO-012,2025-07-28,SUP003,MAT006,3200,3200,2025-08-11,2025-08-11,0,0,0,0,0,0,0,0
PO-013,2025-01-20,SUP003,MAT007,3600,3600,2025-02-03,2025-02-03,0,0,0,0,0,0,0,0
PO-014,2025-07-24,SUP003,MAT007,3600,3600,2025-08-07,2025-08-07,0,0,0,0,0,0,0,0
PO-015,2025-03-13,SUP010,MAT008,1200,1200,2025-04-03,2025-04-06,0,0,0,0,0,0,0,0
PO-016,2025-10-11,SUP010,MAT008,1200,1200,2025-11-01,2025-11-06,0,0,0,0,0,0,0,0
PO-017,2025-01-23,SUP010,MAT009,1800,1800,2025-02-13,2025-02-17,0,0,0,0,0,0,0,0
PO-018,2025-07-30,SUP010,MAT009,1500,1500,2025-08-20,2025-08-22,0,0,0,0,0,0,0,0
PO-019,2025-04-14,SUP003,MAT010,800,800,2025-04-28,2025-04-30,0,0,0,0,0,0,0,0
PO-020,2025-06-04,SUP003,MAT010,1200,1200,2025-06-18,2025-06-20,0,0,0,0,0,0,0,0
PO-021,2025-05-06,SUP005,MAT011,6000,4800,2025-05-13,2025-05-19,0,0,0,0,0,0,0,0
PO-022,2025-08-17,SUP005,MAT011,6000,4800,2025-08-24,2025-08-26,0,0,0,0,0,0,0,0
PO-023,2025-01-11,SUP005,MAT012,2400,1920,2025-01-18,2025-01-22,0,0,0,0,0,0,0,0
PO-024,2025-07-04,SUP005,MAT012,4800,3840,2025-07-11,2025-07-14,0,0,0,0,0,0,0,0
PO-025,2025-03-01,SUP009,MAT013,2400,2400,2025-03-08,2025-03-19,0,0,0,0,0,0,0,0
PO-026,2025-06-13,SUP009,MAT013,1800,1800,2025-06-20,2025-06-26,0,0,0,0,0,0,0,0
PO-027,2025-01-11,SUP005,MAT014,2000,2000,2025-01-18,2025-01-24,0,0,0,0,0,0,0,0
PO-028,2025-09-24,SUP005,MAT014,1600,1600,2025-10-01,2025-10-03,0,0,0,0,0,0,0,0
PO-029,2025-01-10,SUP009,MAT015,1200,960,2025-01-20,2025-01-27,0,0,0,0,0,0,0,0
PO-030,2025-09-07,SUP009,MAT015,1500,1500,2025-09-17,2025-09-22,0,0,0,0,0,0,0,0
