sales_order_id,order_date,customer_name,finished_product,quantity_ordered,required_delivery_date,status,is_null_order_id,is_null_customer,is_null_qty_ordered,is_null_required_date,is_null_status
SO-001,2025-01-17,BuildRight Hardware,Premium White Paint 4L,618,2025-02-04,Delivered,0,0,0,0,0
SO-002,2025-01-10,Kerjaya Bina Bhd,Premium White Paint 4L,107,2025-02-05,Delivered,0,0,0,0,0
SO-003,2025-01-19,Sime Darby Property,Anti-Rust Coating,743,2025-02-14,Delivered,0,0,0,0,0
SO-004,2025-02-19,Pavilion Retail Supplies,Industrial Grey Primer,131,2025-03-10,Delivered,0,0,0,0,0
SO-005,2025-02-18,Maybank Facilities Mgmt,Anti-Rust Coating,468,2025-03-20,Delivered,0,0,0,0,0
SO-006,2025-02-05,Maybank Facilities Mgmt,Marine Blue Coating,299,2025-03-06,Delivered,0,0,0,0,0
SO-007,2025-02-15,Sime Darby Property,Epoxy Floor Coating,371,2025-03-15,Delivered,0,0,0,0,0
SO-008,2025-03-05,SP Setia Hardware,Premium White Paint 1L,255,2025-03-25,Delivered,0,0,0,0,0
SO-009,2025-03-19,Sime Darby Property,Marine Blue Coating,310,2025-04-12,Delivered,0,0,0,0,0
SO-010,2025-03-18,UEM Sunrise Bhd,Anti-Rust Coating,301,2025-04-04,Delivered,0,0,0,0,0
SO-011,2025-03-04,IJM Corporation,Epoxy Floor Coating,775,2025-03-29,Delivered,0,0,0,0,0
SO-012,2025-04-15,Pavilion Retail Supplies,Anti-Rust Coating,543,2025-05-07,Delivered,0,0,0,0,0
SO-013,2025-04-19,Eco World Supplies,Anti-Rust Coating,585,2025-05-17,Delivered,0,0,0,0,0
SO-014,2025-04-14,Sunway Building Materials,Premium White Paint 4L,131,2025-05-04,Delivered,0,0,0,0,0
SO-015,2025-05-07,UEM Sunrise Bhd,Epoxy Floor Coating,167,2025-06-03,Delivered,0,0,0,0,0
SO-016,2025-05-13,Gamuda Trading,Clear Varnish,784,2025-06-08,Delivered,0,0,0,0,0
SO-017,2025-05-14,Sunway Building Materials,Marine Blue Coating,782,2025-06-09,Delivered,0,0,0,0,0
SO-018,2025-06-05,Eco World Supplies,Premium White Paint 4L,243,2025-06-21,Delivered,0,0,0,0,0
SO-019,2025-06-11,SP Setia Hardware,Premium White Paint 1L,475,2025-07-02,Delivered,0,0,0,0,0
SO-020,2025-06-09,BuildRight Hardware,Protective Roof Paint,756,2025-06-30,Delivered,0,0,0,0,0
SO-021,2025-07-20,BuildRight Hardware,Protective Roof Paint,528,2025-08-12,Delivered,0,0,0,0,0
SO-022,2025-07-10,IJM Corporation,Epoxy Floor Coating,384,2025-08-08,Delivered,0,0,0,0,0
